"","upwind_dist_km","site_Dd18O","site_DW","site_DP","dist_inland_km","M_factorChange","site_region"
"1449",5161.51805107384,-3.4935869100724,-10.6461043750593,6.54509969534748e-06,3000,2.53521126760563,"inland"
"1450",2261.51805107384,-1.48808651720067,-6.54366038889582,1.77995484030489e-05,100,2.14285714285714,"coast"
"1451",3661.51805107384,-2.27307856257108,-7.97946788936005,1.04031545159003e-05,1500,2.14285714285714,"middle"
"1452",5161.51805107384,-2.80993368070803,-8.76887436880441,6.41927439242845e-06,3000,2.14285714285714,"inland"
"1453",2261.51805107384,-1.15331175058675,-5.18325598383617,1.50431855285335e-05,100,1.85567010309278,"coast"
"1454",3661.51805107384,-1.7878380126336,-6.39775106096454,9.30482065103392e-06,1500,1.85567010309278,"middle"
"1455",5161.51805107384,-2.23445333600747,-7.10347519308774,6.02483727739067e-06,3000,1.85567010309278,"inland"
"1456",2261.51805107384,-0.88117878940952,-4.03261740994733,1.23306676139721e-05,100,1.63636363636364,"coast"
"1457",3661.51805107384,-1.38140191750713,-5.01721688114409,8.02414033660004e-06,1500,1.63636363636364,"middle"
"1458",5161.51805107384,-1.7421878109799,-5.6179623349512,5.42761521029241e-06,3000,1.63636363636364,"inland"
"1459",2261.51805107384,-0.655660372923084,-3.04681350932423,9.72725829437428e-06,100,1.46341463414634,"coast"
"1460",3661.51805107384,-1.03546379201958,-3.80498214586143,6.63352334399366e-06,1500,1.46341463414634,"middle"
"1461",5161.51805107384,-1.31563042928018,-4.28905650885713,4.67282092735687e-06,3000,1.46341463414634,"inland"
"1462",2261.51805107384,-0.465766937639001,-2.19303708713527,7.26203576287533e-06,100,1.32352941176471,"coast"
"1463",3661.51805107384,-0.73759908522586,-2.7370716574837,5.17658246354799e-06,1500,1.32352941176471,"middle"
"1464",5161.51805107384,-0.942735445882525,-3.1002337497603,3.78924054798333e-06,3000,1.32352941176471,"inland"
"1465",2261.51805107384,-0.303757758394307,-1.44682279073112,4.94456887143078e-06,100,1.20805369127517,"coast"
"1466",3661.51805107384,-0.479636887166235,-1.79637301534086,3.67755651080162e-06,1500,1.20805369127517,"middle"
"1467",5161.51805107384,-0.615704407633588,-2.04054556544516,2.79276650372497e-06,3000,1.20805369127517,"inland"
"1468",2261.51805107384,-0.164060146431444,-0.789570285316039,2.77406539163934e-06,100,1.11111111111111,"coast"
"1469",3661.51805107384,-0.256566000313874,-0.97076502508887,2.14896073587559e-06,1500,1.11111111111111,"middle"
"1470",5161.51805107384,-0.330166045088287,-1.10339990458252,1.69058649752869e-06,3000,1.11111111111111,"inland"
"1471",2414.28349579804,-3.23069664818421,-13.0860038344805,2.13300632259155e-05,100,4,"coast"
"1472",3814.28349579804,-4.47456301321847,-14.6530261187841,9.94787252365525e-06,1500,4,"middle"
"1473",5314.28349579804,-5.20750210563803,-15.3204950120049,5.06528371136712e-06,3000,4,"inland"
