"","upwind_dist_km","site_Dd18O","site_DW","dist_inland_km","site_region"
"35",-589.142584513744,-0.0523729261231454,-0.10707885791917,1500,"middle"
"36",910.857415486256,-2.55987728854545,-7.75997801603461,3000,"inland"
"37",-1900.82243826421,-0.00308484851097024,-0.00130506794022267,100,"coast"
"38",-500.822438264209,-0.0523729261231454,-0.10707885791917,1500,"middle"
"39",999.177561735791,-2.55987728854545,-7.75997801603461,3000,"inland"
"40",-1811.49289706546,0.00377159191500276,0.00178829812044512,100,"coast"
"41",-411.49289706546,0.0642054158469518,0.146551310935095,1500,"middle"
"42",1088.50710293454,-2.77412287258383,-8.26668335831512,3000,"inland"
"43",-1721.13062153497,-0.00461179278476997,-0.00245076033695568,100,"coast"
"44",-321.13062153497,-0.0788722313130874,-0.201170981198665,1500,"middle"
"45",1178.86937846503,-2.98004952132824,-8.73650009217763,3000,"inland"
"46",-1629.71145332781,0.00564003231928734,0.00335893696895795,100,"coast"
"47",-229.711453327813,0.0967145841733741,0.27509921514428,1500,"middle"
"48",1270.28854667219,-3.17783216230316,-9.17272406940506,3000,"inland"
"49",-1537.21037636699,-0.00689859961178207,-0.00460429904241266,100,"coast"
"50",-137.210376366986,-0.119103419900402,-0.378262397901473,1500,"middle"
"51",1362.78962363301,-3.36802911593825,-9.57833929427946,3000,"inland"
"52",-1443.60147575206,0.00843969564523483,0.00631189442001556,100,"coast"
"53",-43.6014757520625,0.14594616159902,0.516368302488139,1500,"middle"
"54",1456.39852424794,-3.55068762180033,-9.9559275968808,3000,"inland"
"55",-1348.85789417726,-0.0103270331293093,-0.00865420906777103,100,"coast"
"56",51.1421058227406,-0.18053007128993,-0.712103974594662,1500,"middle"
"57",1551.14210582274,-3.72642764916697,-10.3078937954628,3000,"inland"
"58",-1252.95178567559,0.0126397165836067,0.0118663837883446,100,"coast"
"59",147.048214324412,-0.492823318477109,-1.82412819041694,1500,"middle"
"60",1647.04821432441,-3.89513991113077,-10.636266836438,3000,"inland"
"61",-1139.55342684145,-0.0154738664535081,-0.0162741881882766,100,"coast"
"62",260.446573158548,-0.792195753165803,-2.83447842051393,1500,"middle"
"63",1760.44657315855,-4.05755535917229,-10.9430344367754,3000,"inland"
"64",-1041.02796542182,0.01895002275909,0.0223193849223051,100,"coast"
"65",358.972034578183,-1.07872706205592,-3.75492278437619,1500,"middle"
"66",1858.97203457818,-4.21336476989309,-11.2297762055938,3000,"inland"
"67",-941.244698205288,-0.023213282371759,-0.0306187445276436,100,"coast"
"68",458.755301794712,-1.35380691605158,-4.59631725231772,1500,"middle"
"69",1958.75530179471,-4.36347298367801,-11.4981954112344,3000,"inland"
"70",-840.171094388928,0.028448840668216,0.0420005129947896,100,"coast"
"71",559.828905611072,-1.61713797203,-5.36683427242651,1500,"middle"
"72",2059.82890561107,-4.5073104156037,-11.7494777759313,3000,"inland"
"73",-737.773344594887,-0.0348754045709221,-0.0576369973256448,100,"coast"
"74",662.226655405113,-1.8703507868052,-6.07489892943283,1500,"middle"
"75",2162.22665540511,-4.64603431647836,-11.9851657588613,3000,"inland"
"76",-634.016292976599,0.0427811216914264,0.0790745988397248,100,"coast"
"77",765.983707023401,-2.11267064429588,-6.7260012829475,1500,"middle"
"78",2265.9837070234,-4.77873679346497,-12.2060582247055,3000,"inland"
"79",-528.863364757755,-0.0524935973065244,-0.108556106726347,100,"coast"
"80",871.136635242245,-2.34611573161836,-7.32719891821634,1500,"middle"
"81",2371.13663524224,-4.90691993581771,-12.4136732880483,3000,"inland"
"82",-422.276488830286,0.0644702097575278,0.148945588891657,100,"coast"
"83",977.723511169714,-2.56929444270215,-7.8817143005709,1500,"middle"
"84",2477.72351116971,-5.02924707885866,-12.6083701098766,3000,"inland"
